"Species","spawningMode","FemaleMass_g","FemaleSize_mm","sizeType","eggSize_mm","typeOfWork_eggSize","timeToEggMeasurement_months","Location","Date","sampleSize","Fertilized","Live","Latitude","Longitude","ReferencePdf","lnFemaleSize","lnEggSize","absLatitude"
"Fundulus heteroclitus","demersal",NA,60.2,"TL",1.82,"",NA,"USA East coast - Mt. Desert Is., ME","1980 - 1983 / May - June","",TRUE,FALSE,44.276708,-68.143762,"marteinsdottir_g_1988_c1988_471.pdf",4.09767235231478,0.598836501088704,44.276708
"Fundulus heteroclitus","demersal",NA,84.7,"TL",1.85,"",NA,"USA East coast - Boston, MA","1980 - 1983 / May - June","",TRUE,FALSE,42.34256,-70.983241,"marteinsdottir_g_1988_c1988_471.pdf",4.43911560165801,0.615185639090233,42.34256
"Fundulus heteroclitus","demersal",NA,68.6,"TL",1.94,"",NA,"USA East coast - Woods Hole, MA","1980 - 1983 / May - June","",TRUE,FALSE,41.510585,-70.666059,"marteinsdottir_g_1988_c1988_471.pdf",4.22829253473184,0.662687973075237,41.510585
"Fundulus heteroclitus","demersal",NA,87.2,"TL",1.95,"",NA,"USA East coast - Nissequoke, NY","1980 - 1983 / May - June","",TRUE,FALSE,40.946766,-73.217481,"marteinsdottir_g_1988_c1988_471.pdf",4.46820433091493,0.667829372575655,40.946766
"Fundulus heteroclitus","demersal",NA,78.7,"TL",2.17,"",NA,"USA East coast - Newark, NJ","1980 - 1983 / May - June","",TRUE,FALSE,40.688131,-74.125404,"marteinsdottir_g_1988_c1988_471.pdf",4.36564315542336,0.774727167552368,40.688131
"Fundulus heteroclitus","demersal",NA,64.2,"TL",2.06,"",NA,"USA East coast - Tuckerton, NJ","1980 - 1983 / May - June","",TRUE,FALSE,39.579285,-74.318481,"marteinsdottir_g_1988_c1988_471.pdf",4.16200321069592,0.72270598280149,39.579285
"Fundulus heteroclitus","demersal",NA,92.2,"TL",2.23,"",NA,"USA East coast - Cape Hatteras, NC","1980 - 1983 / May - June","",TRUE,FALSE,35.173364,-75.752839,"marteinsdottir_g_1988_c1988_471.pdf",4.52396013056255,0.802001585472027,35.173364
"Fundulus heteroclitus","demersal",NA,83.7,"TL",2.17,"",NA,"USA East coast - Bears Bluff, SC","1980 - 1983 / May - June","",TRUE,FALSE,32.636087,-80.267449,"marteinsdottir_g_1988_c1988_471.pdf",4.42723897749543,0.774727167552368,32.636087
"Fundulus heteroclitus","demersal",NA,64,"TL",2.15,"",NA,"USA East coast - Jacksonville, FL","1980 - 1983 / May - June","",TRUE,FALSE,30.416897,-81.36401,"marteinsdottir_g_1988_c1988_471.pdf",4.15888308335967,0.765467842139571,30.416897
"Fundulus heteroclitus","demersal",NA,64.4,"TL",1.69,"",NA,"Delaware Bay - Woodbury, NJ","1980 - 1983 / May - June","",TRUE,FALSE,39.871619,-75.201777,"marteinsdottir_g_1988_c1988_471.pdf",4.16511363311031,0.524728528934982,39.871619
