"Species","spawningMode","FemaleMass_g","FemaleSize_mm","Fecundity_nOfEggs_per_female","sizeType","eggSize_mm","typeOfWork_eggSize","timeToEggMeasurement_months","Location","Date","sampleSize","Fertilized","Live","Latitude","Longitude","ReferencePdf","lnFemaleSize","lnEggSize","lnFecundity","absLatitude"
"Amblygaster sirm","pelagic",NA,204,26467,"TL",0.45,"",NA,"Parangipettai, SE coast of India","1994 January - December","",FALSE,FALSE,11.514903,79.786229,"veerappan_n_1997_j39_89.pdf",5.31811999384422,-0.798507696217772,10.1836539529462,11.514903
"Amblygaster sirm","pelagic",NA,204,28967,"TL",0.45,"",NA,"Parangipettai, SE coast of India","1994 January - December","",FALSE,FALSE,11.514903,79.786229,"veerappan_n_1997_j39_89.pdf",5.31811999384422,-0.798507696217772,10.273912529999,11.514903
"Amblygaster sirm","pelagic",NA,219,27214,"TL",0.45,"",NA,"Parangipettai, SE coast of India","1994 January - December","",FALSE,FALSE,11.514903,79.786229,"veerappan_n_1997_j39_89.pdf",5.3890717298165,-0.798507696217772,10.2114868257508,11.514903
"Amblygaster sirm","pelagic",NA,200,37446,"TL",0.45,"",NA,"Parangipettai, SE coast of India","1994 January - December","",FALSE,FALSE,11.514903,79.786229,"veerappan_n_1997_j39_89.pdf",5.29831736654804,-0.798507696217772,10.5306551741621,11.514903
"Amblygaster sirm","pelagic",NA,191,30116,"TL",0.45,"",NA,"Parangipettai, SE coast of India","1994 January - December","",FALSE,FALSE,11.514903,79.786229,"veerappan_n_1997_j39_89.pdf",5.25227342804663,-0.798507696217772,10.31281187097,11.514903
"Amblygaster sirm","pelagic",NA,191,31239,"TL",0.45,"",NA,"Parangipettai, SE coast of India","1994 January - December","",FALSE,FALSE,11.514903,79.786229,"veerappan_n_1997_j39_89.pdf",5.25227342804663,-0.798507696217772,10.349422593198,11.514903
"Amblygaster sirm","pelagic",NA,191,39446,"TL",0.45,"",NA,"Parangipettai, SE coast of India","1994 January - December","",FALSE,FALSE,11.514903,79.786229,"veerappan_n_1997_j39_89.pdf",5.25227342804663,-0.798507696217772,10.5826879269634,11.514903
"Amblygaster sirm","pelagic",NA,190,48306,"TL",0.45,"",NA,"Parangipettai, SE coast of India","1994 January - December","",FALSE,FALSE,11.514903,79.786229,"veerappan_n_1997_j39_89.pdf",5.24702407216049,-0.798507696217772,10.785311055528,11.514903
"Amblygaster sirm","pelagic",NA,196,46979,"TL",0.45,"",NA,"Parangipettai, SE coast of India","1994 January - December","",FALSE,FALSE,11.514903,79.786229,"veerappan_n_1997_j39_89.pdf",5.27811465923052,-0.798507696217772,10.7574559723329,11.514903
"Amblygaster sirm","pelagic",NA,209,52180,"TL",0.45,"",NA,"Parangipettai, SE coast of India","1994 January - December","",FALSE,FALSE,11.514903,79.786229,"veerappan_n_1997_j39_89.pdf",5.34233425196481,-0.798507696217772,10.8624545586907,11.514903
"Amblygaster sirm","pelagic",NA,204,63139,"TL",0.45,"",NA,"Parangipettai, SE coast of India","1994 January - December","",FALSE,FALSE,11.514903,79.786229,"veerappan_n_1997_j39_89.pdf",5.31811999384422,-0.798507696217772,11.0530939241658,11.514903
"Amblygaster sirm","pelagic",NA,204,61830,"TL",0.45,"",NA,"Parangipettai, SE coast of India","1994 January - December","",FALSE,FALSE,11.514903,79.786229,"veerappan_n_1997_j39_89.pdf",5.31811999384422,-0.798507696217772,11.0321439625526,11.514903
"Amblygaster sirm","pelagic",NA,209,68707,"TL",0.45,"",NA,"Parangipettai, SE coast of India","1994 January - December","",FALSE,FALSE,11.514903,79.786229,"veerappan_n_1997_j39_89.pdf",5.34233425196481,-0.798507696217772,11.1376063653051,11.514903
"Amblygaster sirm","pelagic",NA,204,69103,"TL",0.45,"",NA,"Parangipettai, SE coast of India","1994 January - December","",FALSE,FALSE,11.514903,79.786229,"veerappan_n_1997_j39_89.pdf",5.31811999384422,-0.798507696217772,11.1433534241534,11.514903
"Amblygaster sirm","pelagic",NA,209,78037,"TL",0.45,"",NA,"Parangipettai, SE coast of India","1994 January - December","",FALSE,FALSE,11.514903,79.786229,"veerappan_n_1997_j39_89.pdf",5.34233425196481,-0.798507696217772,11.2649383521734,11.514903
"Amblygaster sirm","pelagic",NA,209,89187,"TL",0.45,"",NA,"Parangipettai, SE coast of India","1994 January - December","",FALSE,FALSE,11.514903,79.786229,"veerappan_n_1997_j39_89.pdf",5.34233425196481,-0.798507696217772,11.3984905680367,11.514903
"Amblygaster sirm","pelagic",NA,204,85921,"TL",0.45,"",NA,"Parangipettai, SE coast of India","1994 January - December","",FALSE,FALSE,11.514903,79.786229,"veerappan_n_1997_j39_89.pdf",5.31811999384422,-0.798507696217772,11.3611835484087,11.514903
"Amblygaster sirm","pelagic",NA,223,93325,"TL",0.45,"",NA,"Parangipettai, SE coast of India","1994 January - December","",FALSE,FALSE,11.514903,79.786229,"veerappan_n_1997_j39_89.pdf",5.40717177146012,-0.798507696217772,11.4438433037828,11.514903
