"Species","spawningMode","FemaleMass_g","FemaleSize_mm","sizeType","Fecundity_nOfEggs_per_female","typeOfWork_Fecundity","timeToFecundityMeasurement_months","Location","Date","sampleSize","Fertilized","Live","Latitude","Longitude","ReferencePdf","lnFemaleSize","lnFecundity","absLatitude"
"Odontesthes argentinensis","demersal",NA,254,"TL",7265,"Field",NA,"Lagoa dos Patos, RS, Brazil","2004 June - 2005 June","12 females",FALSE,FALSE,-32.153634,-51.898207,"moresco_a_2006_msc_thesis_furg.pdf",5.53733426701854,8.89082357600438,32.153634
"Odontesthes argentinensis","demersal",NA,278,"TL",13227,"Field",NA,"Lagoa dos Patos, RS, Brazil","2004 June - 2005 June","12 females",FALSE,FALSE,-32.153634,-51.898207,"moresco_a_2006_msc_thesis_furg.pdf",5.62762111369064,9.49001547402605,32.153634
"Odontesthes argentinensis","demersal",NA,255,"TL",8928,"Field",NA,"Lagoa dos Patos, RS, Brazil","2004 June - 2005 June","12 females",FALSE,FALSE,-32.153634,-51.898207,"moresco_a_2006_msc_thesis_furg.pdf",5.54126354515843,9.09694768462109,32.153634
"Odontesthes argentinensis","demersal",NA,255,"TL",8017,"Field",NA,"Lagoa dos Patos, RS, Brazil","2004 June - 2005 June","12 females",FALSE,FALSE,-32.153634,-51.898207,"moresco_a_2006_msc_thesis_furg.pdf",5.54126354515843,8.98931956604295,32.153634
"Odontesthes argentinensis","demersal",NA,342,"TL",26724,"Field",NA,"Lagoa dos Patos, RS, Brazil","2004 June - 2005 June","12 females",FALSE,FALSE,-32.153634,-51.898207,"moresco_a_2006_msc_thesis_furg.pdf",5.8348107370626,10.1933173170454,32.153634
"Odontesthes argentinensis","demersal",NA,285,"TL",8819,"Field",NA,"Lagoa dos Patos, RS, Brazil","2004 June - 2005 June","12 females",FALSE,FALSE,-32.153634,-51.898207,"moresco_a_2006_msc_thesis_furg.pdf",5.65248918026865,9.08466376388818,32.153634
"Odontesthes argentinensis","demersal",NA,281,"TL",10677,"Field",NA,"Lagoa dos Patos, RS, Brazil","2004 June - 2005 June","12 females",FALSE,FALSE,-32.153634,-51.898207,"moresco_a_2006_msc_thesis_furg.pdf",5.63835466933375,9.2758471741783,32.153634
"Odontesthes argentinensis","demersal",NA,226,"TL",6082,"Field",NA,"Lagoa dos Patos, RS, Brazil","2004 June - 2005 June","12 females",FALSE,FALSE,-32.153634,-51.898207,"moresco_a_2006_msc_thesis_furg.pdf",5.42053499927229,8.71308886823731,32.153634
"Odontesthes argentinensis","demersal",NA,265,"TL",7743,"Field",NA,"Lagoa dos Patos, RS, Brazil","2004 June - 2005 June","12 females",FALSE,FALSE,-32.153634,-51.898207,"moresco_a_2006_msc_thesis_furg.pdf",5.57972982598622,8.95454448838672,32.153634
"Odontesthes argentinensis","demersal",NA,262,"TL",7664,"Field",NA,"Lagoa dos Patos, RS, Brazil","2004 June - 2005 June","12 females",FALSE,FALSE,-32.153634,-51.898207,"moresco_a_2006_msc_thesis_furg.pdf",5.5683445037611,8.9442893196507,32.153634
"Odontesthes argentinensis","demersal",NA,271,"TL",8811,"Field",NA,"Lagoa dos Patos, RS, Brazil","2004 June - 2005 June","12 females",FALSE,FALSE,-32.153634,-51.898207,"moresco_a_2006_msc_thesis_furg.pdf",5.6021188208797,9.08375621986673,32.153634
"Odontesthes argentinensis","demersal",NA,257,"TL",6207,"Field",NA,"Lagoa dos Patos, RS, Brazil","2004 June - 2005 June","12 females",FALSE,FALSE,-32.153634,-51.898207,"moresco_a_2006_msc_thesis_furg.pdf",5.54907608489522,8.73343296641365,32.153634
"Odontesthes argentinensis","demersal",NA,255,"TL",10900,"Field",NA,"Lagoa dos Patos, RS, Brazil","2004 June - 2005 June","12 females",FALSE,FALSE,-32.153634,-51.898207,"moresco_a_2006_msc_thesis_furg.pdf",5.54126354515843,9.29651806821724,32.153634
"Odontesthes argentinensis","demersal",NA,242,"TL",7514,"Field",NA,"Lagoa dos Patos, RS, Brazil","2004 June - 2005 June","12 females",FALSE,FALSE,-32.153634,-51.898207,"moresco_a_2006_msc_thesis_furg.pdf",5.48893772615669,8.92452322613391,32.153634
"Odontesthes argentinensis","demersal",NA,268,"TL",21038,"Field",NA,"Lagoa dos Patos, RS, Brazil","2004 June - 2005 June","12 females",FALSE,FALSE,-32.153634,-51.898207,"moresco_a_2006_msc_thesis_furg.pdf",5.59098698051086,9.95408560529922,32.153634
"Odontesthes argentinensis","demersal",NA,332,"TL",25366,"Field",NA,"Lagoa dos Patos, RS, Brazil","2004 June - 2005 June","12 females",FALSE,FALSE,-32.153634,-51.898207,"moresco_a_2006_msc_thesis_furg.pdf",5.80513496891649,10.1411649736274,32.153634
"Odontesthes argentinensis","demersal",NA,226,"TL",5683,"Field",NA,"Lagoa dos Patos, RS, Brazil","2004 June - 2005 June","12 females",FALSE,FALSE,-32.153634,-51.898207,"moresco_a_2006_msc_thesis_furg.pdf",5.42053499927229,8.64523454129712,32.153634
"Odontesthes argentinensis","demersal",NA,311,"TL",25722,"Field",NA,"Lagoa dos Patos, RS, Brazil","2004 June - 2005 June","12 females",FALSE,FALSE,-32.153634,-51.898207,"moresco_a_2006_msc_thesis_furg.pdf",5.73979291217923,10.155101935826,32.153634
"Odontesthes argentinensis","demersal",NA,250,"TL",8731,"Field",NA,"Lagoa dos Patos, RS, Brazil","2004 June - 2005 June","12 females",FALSE,FALSE,-32.153634,-51.898207,"moresco_a_2006_msc_thesis_furg.pdf",5.52146091786225,9.07463518981081,32.153634
"Odontesthes argentinensis","demersal",NA,225,"TL",8839,"Field",NA,"Lagoa dos Patos, RS, Brazil","2004 June - 2005 June","12 females",FALSE,FALSE,-32.153634,-51.898207,"moresco_a_2006_msc_thesis_furg.pdf",5.41610040220442,9.08692902706095,32.153634
"Odontesthes argentinensis","demersal",NA,255,"TL",17052,"Field",NA,"Lagoa dos Patos, RS, Brazil","2004 June - 2005 June","12 females",FALSE,FALSE,-32.153634,-51.898207,"moresco_a_2006_msc_thesis_furg.pdf",5.54126354515843,9.7440227778851,32.153634
"Odontesthes argentinensis","demersal",NA,192,"TL",4187,"Field",NA,"Lagoa dos Patos, RS, Brazil","2004 June - 2005 June","12 females",FALSE,FALSE,-32.153634,-51.898207,"moresco_a_2006_msc_thesis_furg.pdf",5.25749537202778,8.33973976601914,32.153634
"Odontesthes argentinensis","demersal",NA,209,"TL",3422,"Field",NA,"Lagoa dos Patos, RS, Brazil","2004 June - 2005 June","12 females",FALSE,FALSE,-32.153634,-51.898207,"moresco_a_2006_msc_thesis_furg.pdf",5.34233425196481,8.13798045445214,32.153634
"Odontesthes argentinensis","demersal",NA,260,"TL",27980,"Field",NA,"Lagoa dos Patos, RS, Brazil","2004 June - 2005 June","12 females",FALSE,FALSE,-32.153634,-51.898207,"moresco_a_2006_msc_thesis_furg.pdf",5.56068163101553,10.2392452482195,32.153634
"Hirundichthys affinis","demersal",NA,263.05,"TL",7398,"Field",NA,"Mostly off the coast of Natal, RN, Brazil","2010 August - 2011 July","2 females",FALSE,FALSE,-5.750962,-35.088767,"oliveira_mr_2015_h6_107.pdf",5.57234412817682,8.9089649723924,5.750962
"Hirundichthys affinis","demersal",NA,277.27,"TL",10021,"Field",NA,"Mostly off the coast of Natal, RN, Brazil","2010 August - 2011 July","2 females",FALSE,FALSE,-5.750962,-35.088767,"oliveira_mr_2015_h6_107.pdf",5.62499176068914,9.21243817005833,5.750962
